id,title,type,genres,averageRating,numVotes,releaseYear,
tt6148156,Vikram Vedha,movie,"Action, Crime, Drama",8.2,51825,2017,
tt15501640,Drishyam 2,movie,"Crime, Drama, Mystery",8.2,46957,2022,
tt20256528,What Is a Woman?,movie,Documentary,8.2,45354,2022,
tt6316138,Ayla: The Daughter of War,movie,"Biography, Drama, History",8.2,44830,2017,
tt0085809,Koyaanisqatsi,movie,"Documentary, Music",8.2,42520,1982,
tt2375605,The Act of Killing,movie,"Biography, Crime, Documentary",8.2,41580,2012,
tt0048473,Pather Panchali,movie,Drama,8.2,39394,1955,
tt7905466,They Shall Not Grow Old,movie,"Documentary, History, War",8.2,39092,2018,
tt1620933,Paan Singh Tomar,movie,"Action, Biography, Crime",8.2,38441,2012,
tt5895028,13th,movie,"Crime, Documentary, History",8.2,38119,2016,
tt0071411,Dersu Uzala,movie,"Adventure, Biography, Drama",8.2,34283,1975,
tt5929776,The First Born,movie,"Documentary, News",8.2,29118,2016,
tt0045274,Umberto D.,movie,Drama,8.2,28892,1952,
tt7392212,Rangasthalam,movie,"Action, Drama",8.2,28450,2018,
tt0049902,A Man Escaped,movie,"Drama, Thriller, War",8.2,26217,1956,
tt4983780,Maanaadu,movie,"Action, Adventure, Sci-Fi",8.2,25910,2021,
tt0466460,Khosla Ka Ghosla!,movie,"Comedy, Crime, Drama",8.2,25447,2006,
tt0100234,Close-Up,movie,"Biography, Crime, Drama",8.2,24070,1990,
tt26458038,Manjummel Boys,movie,"Adventure, Drama, Thriller",8.2,23103,2024,
tt0042804,The Young and the Damned,movie,"Crime, Drama",8.2,22448,1950,
tt0054248,Rocco and His Brothers,movie,"Crime, Drama, Sport",8.2,22148,1960,
tt0041154,Late Spring,movie,"Comedy, Drama",8.2,19897,1949,
tt0070233,Ivan Vasilyevich Changes His Profession,movie,"Adventure, Comedy, Sci-Fi",8.2,18956,1973,
tt0117293,Paradise Lost: The Child Murders at Robin Hood Hills,movie,"Crime, Documentary",8.2,18527,1996,
tt0100332,Paris Is Burning,movie,Documentary,8.2,18507,1990,
tt25433734,Hi Nanna,movie,"Drama, Family, Romance",8.2,18364,2023,
tt7019942,Super Deluxe,movie,"Comedy, Crime, Drama",8.2,18309,2019,
tt5460658,Life and a Day,movie,Drama,8.2,18080,2016,
